"timeDiff","status","Freq"
0,"0",0
7,"0",0
9,"0",0
10,"0",0
11,"0",4
12,"0",0
13,"0",6
14,"0",2
15,"0",14
16,"0",1
17,"0",0
18,"0",1
19,"0",4
20,"0",9
21,"0",4
22,"0",3
23,"0",10
24,"0",5
25,"0",2
26,"0",10
27,"0",20
28,"0",3
29,"0",5
30,"0",7
31,"0",16
32,"0",6
33,"0",5
34,"0",6
35,"0",23
36,"0",10
37,"0",3
38,"0",8
39,"0",20
40,"0",8
41,"0",10
42,"0",23
43,"0",12
44,"0",8
45,"0",7
46,"0",22
47,"0",11
48,"0",10
49,"0",9
50,"0",21
51,"0",7
52,"0",6
53,"0",7
54,"0",20
55,"0",8
56,"0",7
57,"0",7
58,"0",22
59,"0",6
60,"0",10
61,"0",6
62,"0",24
63,"0",13
64,"0",7
65,"0",11
66,"0",24
67,"0",10
68,"0",11
69,"0",13
70,"0",32
71,"0",8
72,"0",14
73,"0",6
74,"0",22
75,"0",14
76,"0",12
77,"0",11
78,"0",33
79,"0",12
80,"0",10
81,"0",26
82,"0",18
83,"0",14
84,"0",15
85,"0",22
86,"0",9
87,"0",9
88,"0",10
89,"0",35
90,"0",12
91,"0",9
92,"0",10
93,"0",28
94,"0",14
95,"0",11
96,"0",12
97,"0",32
98,"0",9
99,"0",10
100,"0",7
101,"0",24
102,"0",8
103,"0",11
104,"0",13
105,"0",26
106,"0",10
107,"0",12
108,"0",11
109,"0",24
110,"0",10
111,"0",11
112,"0",7
113,"0",24
114,"0",8
115,"0",9
116,"0",11
117,"0",22
118,"0",16
119,"0",7
120,"0",21
121,"0",10
122,"0",11
123,"0",18
124,"0",20
125,"0",15
126,"0",14
127,"0",11
128,"0",25
129,"0",8
130,"0",13
131,"0",9
132,"0",27
133,"0",11
134,"0",15
135,"0",14
136,"0",21
137,"0",14
138,"0",5
139,"0",11
140,"0",18
141,"0",12
142,"0",5
143,"0",12
144,"0",16
145,"0",4
146,"0",4
147,"0",14
148,"0",33
149,"0",3
150,"0",10
151,"0",11
152,"0",24
153,"0",12
154,"0",13
155,"0",13
156,"0",23
157,"0",10
158,"0",12
159,"0",23
160,"0",11
161,"0",5
162,"0",10
163,"0",21
164,"0",6
165,"0",10
166,"0",10
167,"0",24
168,"0",15
169,"0",11
170,"0",11
171,"0",19
172,"0",12
173,"0",12
174,"0",10
175,"0",22
176,"0",11
177,"0",14
178,"0",8
179,"0",21
180,"0",8
181,"0",12
182,"0",5
183,"0",19
184,"0",12
185,"0",8
186,"0",7
187,"0",26
188,"0",8
189,"0",5
190,"0",22
191,"0",19
192,"0",13
193,"0",13
194,"0",8
195,"0",28
196,"0",7
197,"0",8
198,"0",29
199,"0",10
200,"0",9
201,"0",14
202,"0",21
203,"0",12
204,"0",11
205,"0",11
206,"0",36
207,"0",11
208,"0",16
209,"0",15
210,"0",31
211,"0",6
212,"0",10
213,"0",11
214,"0",21
215,"0",5
216,"0",8
217,"0",10
218,"0",23
219,"0",8
220,"0",10
221,"0",11
222,"0",24
223,"0",11
224,"0",6
225,"0",8
226,"0",19
227,"0",14
228,"0",7
229,"0",19
230,"0",17
231,"0",15
232,"0",5
233,"0",7
234,"0",22
235,"0",13
236,"0",11
237,"0",11
238,"0",22
239,"0",9
240,"0",8
241,"0",25
242,"0",12
243,"0",8
244,"0",6
245,"0",17
246,"0",8
247,"0",12
248,"0",7
249,"0",22
250,"0",7
251,"0",11
252,"0",4
253,"0",18
254,"0",10
255,"0",10
256,"0",11
257,"0",19
258,"0",11
259,"0",9
260,"0",11
261,"0",21
262,"0",7
263,"0",11
264,"0",11
265,"0",17
266,"0",12
267,"0",8
268,"0",12
269,"0",18
270,"0",11
271,"0",7
272,"0",7
273,"0",32
274,"0",12
275,"0",11
276,"0",7
277,"0",13
278,"0",7
279,"0",10
280,"0",19
281,"0",10
282,"0",15
283,"0",7
284,"0",23
285,"0",9
286,"0",15
287,"0",10
288,"0",34
289,"0",9
290,"0",9
291,"0",9
292,"0",17
293,"0",13
294,"0",6
295,"0",8
296,"0",18
297,"0",7
298,"0",8
299,"0",6
300,"0",17
301,"0",2
302,"0",12
303,"0",7
304,"0",17
305,"0",9
306,"0",13
307,"0",8
308,"0",13
309,"0",14
310,"0",9
311,"0",10
312,"0",22
313,"0",6
314,"0",8
315,"0",4
316,"0",17
317,"0",6
318,"0",9
319,"0",11
320,"0",6
321,"0",11
322,"0",4
323,"0",27
324,"0",5
325,"0",7
326,"0",10
327,"0",13
328,"0",11
329,"0",11
330,"0",7
331,"0",19
332,"0",9
333,"0",8
334,"0",11
335,"0",23
336,"0",9
337,"0",12
338,"0",5
339,"0",17
340,"0",7
341,"0",9
342,"0",9
343,"0",26
344,"0",8
345,"0",8
346,"0",2
347,"0",15
348,"0",9
349,"0",5
350,"0",4
351,"0",24
352,"0",7
353,"0",12
354,"0",8
355,"0",18
356,"0",16
357,"0",6
358,"0",21
359,"0",7
360,"0",5
361,"0",3
362,"0",19
363,"0",8
364,"0",12
365,"0",4
366,"0",9
367,"0",10
368,"0",8
369,"0",6
370,"0",23
371,"0",9
372,"0",3
373,"0",8
374,"0",15
375,"0",9
376,"0",9
377,"0",8
378,"0",20
379,"0",7
380,"0",6
381,"0",7
382,"0",19
383,"0",8
384,"0",9
385,"0",3
386,"0",19
387,"0",8
388,"0",5
389,"0",12
390,"0",14
391,"0",5
392,"0",1
393,"0",6
394,"0",26
395,"0",9
396,"0",7
397,"0",14
398,"0",6
399,"0",7
400,"0",9
401,"0",23
402,"0",6
403,"0",13
404,"0",7
405,"0",12
406,"0",5
407,"0",12
408,"0",10
409,"0",15
410,"0",9
411,"0",6
412,"0",10
413,"0",17
414,"0",5
415,"0",9
416,"0",7
417,"0",13
418,"0",5
419,"0",4
420,"0",3
421,"0",12
422,"0",10
423,"0",6
424,"0",12
425,"0",17
426,"0",5
427,"0",11
428,"0",5
429,"0",21
430,"0",10
431,"0",8
432,"0",5
433,"0",13
434,"0",3
435,"0",5
436,"0",13
437,"0",5
438,"0",4
439,"0",3
440,"0",19
441,"0",6
442,"0",8
443,"0",8
444,"0",23
445,"0",2
446,"0",7
447,"0",5
448,"0",16
449,"0",7
450,"0",6
451,"0",5
452,"0",17
453,"0",5
454,"0",5
455,"0",5
456,"0",14
457,"0",4
458,"0",3
459,"0",10
460,"0",15
461,"0",9
462,"0",6
463,"0",5
464,"0",14
465,"0",10
466,"0",7
467,"0",7
468,"0",11
469,"0",7
470,"0",13
471,"0",11
472,"0",20
473,"0",8
474,"0",6
475,"0",9
476,"0",21
477,"0",6
478,"0",8
479,"0",10
480,"0",10
481,"0",6
482,"0",5
483,"0",13
484,"0",6
485,"0",6
486,"0",3
487,"0",18
488,"0",7
489,"0",5
490,"0",6
491,"0",24
492,"0",5
493,"0",4
494,"0",7
495,"0",11
496,"0",5
497,"0",6
498,"0",6
499,"0",19
500,"0",6
501,"0",7
502,"0",7
503,"0",16
504,"0",7
505,"0",10
506,"0",6
507,"0",18
508,"0",5
509,"0",5
510,"0",4
511,"0",13
512,"0",2
513,"0",7
514,"0",4
515,"0",10
516,"0",10
517,"0",8
518,"0",15
519,"0",8
520,"0",6
521,"0",15
522,"0",15
523,"0",10
524,"0",5
525,"0",12
526,"0",14
527,"0",10
528,"0",6
529,"0",3
530,"0",17
531,"0",6
532,"0",11
533,"0",7
534,"0",15
535,"0",7
536,"0",5
537,"0",7
538,"0",19
539,"0",7
540,"0",2
541,"0",11
542,"0",16
543,"0",7
544,"0",8
545,"0",4
546,"0",22
547,"0",3
548,"0",4
549,"0",6
550,"0",17
551,"0",8
552,"0",9
553,"0",4
554,"0",16
555,"0",4
556,"0",6
557,"0",10
558,"0",2
559,"0",6
560,"0",7
561,"0",11
562,"0",7
563,"0",7
564,"0",4
565,"0",14
566,"0",4
567,"0",2
568,"0",1
569,"0",8
570,"0",13
571,"0",4
572,"0",8
573,"0",10
574,"0",8
575,"0",5
576,"0",7
577,"0",15
578,"0",2
579,"0",3
580,"0",6
581,"0",13
582,"0",4
583,"0",4
584,"0",4
585,"0",14
586,"0",7
587,"0",4
588,"0",5
589,"0",17
590,"0",4
591,"0",7
592,"0",4
593,"0",12
594,"0",7
595,"0",4
596,"0",18
597,"0",7
598,"0",2
599,"0",12
600,"0",16
601,"0",6
602,"0",2
603,"0",14
604,"0",12
605,"0",4
606,"0",5
607,"0",7
608,"0",10
609,"0",4
610,"0",7
611,"0",3
612,"0",10
613,"0",4
614,"0",4
615,"0",7
616,"0",10
617,"0",7
618,"0",3
619,"0",6
620,"0",10
621,"0",2
622,"0",7
623,"0",4
624,"0",7
625,"0",4
626,"0",8
627,"0",2
628,"0",15
629,"0",5
630,"0",5
631,"0",4
632,"0",7
633,"0",5
634,"0",5
635,"0",10
636,"0",7
637,"0",7
638,"0",5
639,"0",15
640,"0",1
641,"0",6
642,"0",7
643,"0",14
644,"0",5
645,"0",7
646,"0",7
647,"0",9
648,"0",5
649,"0",6
650,"0",4
651,"0",19
652,"0",4
653,"0",7
654,"0",5
655,"0",8
656,"0",5
657,"0",3
658,"0",8
659,"0",15
660,"0",6
661,"0",7
662,"0",6
663,"0",8
664,"0",5
665,"0",2
666,"0",6
667,"0",19
668,"0",6
669,"0",1
670,"0",8
671,"0",12
672,"0",5
673,"0",9
674,"0",3
675,"0",11
676,"0",7
677,"0",9
678,"0",16
679,"0",7
680,"0",1
681,"0",5
682,"0",16
683,"0",2
684,"0",10
685,"0",7
686,"0",15
687,"0",6
688,"0",5
689,"0",1
690,"0",12
691,"0",5
692,"0",5
693,"0",8
694,"0",7
695,"0",3
696,"0",5
697,"0",4
698,"0",18
699,"0",3
700,"0",7
701,"0",7
702,"0",13
703,"0",8
704,"0",1
705,"0",3
706,"0",11
707,"0",3
708,"0",0
709,"0",0
710,"0",12
711,"0",3
712,"0",4
713,"0",5
714,"0",9
715,"0",2
716,"0",7
717,"0",13
718,"0",2
719,"0",6
720,"0",5
721,"0",13
722,"0",6
723,"0",5
724,"0",5
725,"0",12
726,"0",10
727,"0",11
728,"0",4
729,"0",13
730,"0",1
731,"0",6
732,"0",6
733,"0",16
734,"0",9
735,"0",1
736,"0",2
737,"0",10
738,"0",3
739,"0",3
740,"0",6
741,"0",20
742,"0",8
743,"0",3
744,"0",3
745,"0",19
746,"0",6
747,"0",4
748,"0",8
749,"0",22
750,"0",1
751,"0",3
752,"0",10
753,"0",14
754,"0",4
755,"0",8
756,"0",13
757,"0",4
758,"0",7
759,"0",5
760,"0",8
761,"0",5
762,"0",6
763,"0",3
764,"0",11
765,"0",5
766,"0",6
767,"0",4
768,"0",8
769,"0",6
770,"0",5
771,"0",3
772,"0",10
773,"0",3
774,"0",6
775,"0",3
776,"0",16
777,"0",3
778,"0",3
779,"0",4
780,"0",13
781,"0",7
782,"0",3
783,"0",5
784,"0",7
785,"0",2
786,"0",5
787,"0",2
788,"0",13
789,"0",9
790,"0",5
791,"0",3
792,"0",7
793,"0",9
794,"0",3
795,"0",10
796,"0",2
797,"0",6
798,"0",4
799,"0",11
800,"0",5
801,"0",3
802,"0",3
803,"0",15
804,"0",3
805,"0",4
806,"0",2
807,"0",11
808,"0",2
809,"0",6
810,"0",9
811,"0",17
812,"0",5
813,"0",2
814,"0",2
815,"0",13
816,"0",7
817,"0",3
818,"0",4
819,"0",10
820,"0",7
821,"0",3
822,"0",4
823,"0",7
824,"0",3
825,"0",8
826,"0",3
827,"0",11
828,"0",5
829,"0",1
830,"0",6
831,"0",8
832,"0",4
833,"0",2
834,"0",7
835,"0",4
836,"0",3
837,"0",1
838,"0",10
839,"0",7
840,"0",8
841,"0",8
842,"0",15
843,"0",4
844,"0",8
845,"0",5
846,"0",13
847,"0",3
848,"0",6
849,"0",3
850,"0",17
851,"0",8
852,"0",5
853,"0",7
854,"0",9
