"timeDiff","status","Freq"
40,"0",1
119,"0",0
187,"0",1
195,"0",0
200,"0",1
230,"0",2
261,"0",0
281,"0",1
296,"0",0
304,"0",0
323,"0",0
336,"0",0
347,"0",0
389,"0",0
469,"0",1
526,"0",0
584,"0",0
634,"0",0
681,"0",0
695,"0",0
797,"0",0
989,"0",0
1194,"0",0
1450,"0",0
1485,"0",0
1614,"0",0
1788,"0",0
2036,"0",0
2255,"0",0
2535,"0",0
2890,"0",0
40,"1",0
119,"1",1
187,"1",0
195,"1",1
200,"1",0
230,"1",0
261,"1",1
281,"1",0
296,"1",1
304,"1",1
323,"1",1
336,"1",1
347,"1",1
389,"1",1
469,"1",0
526,"1",1
584,"1",1
634,"1",1
681,"1",1
695,"1",1
797,"1",1
989,"1",1
1194,"1",1
1450,"1",1
1485,"1",1
1614,"1",1
1788,"1",1
2036,"1",1
2255,"1",1
2535,"1",1
2890,"1",1
