"timeDiff","status","Freq"
5,"0",1
7,"0",1
9,"0",1
11,"0",3
12,"0",0
13,"0",4
15,"0",6
16,"0",1
17,"0",7
18,"0",1
19,"0",5
20,"0",1
21,"0",9
22,"0",0
23,"0",6
24,"0",1
25,"0",10
26,"0",4
27,"0",3
28,"0",2
29,"0",4
30,"0",2
31,"0",6
32,"0",1
33,"0",6
34,"0",3
35,"0",5
36,"0",5
37,"0",12
38,"0",2
39,"0",10
40,"0",3
41,"0",1
42,"0",9
43,"0",1
44,"0",8
45,"0",2
46,"0",7
47,"0",2
48,"0",8
49,"0",1
50,"0",5
51,"0",4
52,"0",11
53,"0",5
54,"0",13
55,"0",2
56,"0",7
57,"0",1
58,"0",7
59,"0",1
60,"0",11
61,"0",5
62,"0",4
63,"0",2
64,"0",4
65,"0",4
66,"0",9
67,"0",3
68,"0",8
69,"0",1
70,"0",7
71,"0",7
72,"0",6
73,"0",2
74,"0",7
75,"0",4
76,"0",4
77,"0",5
78,"0",5
79,"0",6
80,"0",4
81,"0",6
82,"0",4
83,"0",3
84,"0",5
85,"0",8
86,"0",4
87,"0",7
88,"0",5
89,"0",7
90,"0",2
91,"0",5
92,"0",1
93,"0",6
94,"0",0
95,"0",8
96,"0",4
97,"0",7
98,"0",1
99,"0",9
100,"0",3
101,"0",5
102,"0",4
103,"0",6
104,"0",1
105,"0",11
106,"0",2
107,"0",10
108,"0",3
109,"0",3
110,"0",5
111,"0",8
112,"0",4
113,"0",11
114,"0",1
115,"0",4
116,"0",3
117,"0",6
118,"0",0
119,"0",3
120,"0",8
121,"0",4
122,"0",7
123,"0",0
124,"0",5
125,"0",2
126,"0",5
127,"0",3
128,"0",4
129,"0",1
130,"0",5
131,"0",1
132,"0",5
133,"0",4
134,"0",12
135,"0",1
136,"0",7
137,"0",2
138,"0",5
139,"0",2
140,"0",7
141,"0",2
142,"0",2
143,"0",3
144,"0",10
145,"0",6
146,"0",5
147,"0",1
148,"0",5
149,"0",4
150,"0",9
151,"0",6
152,"0",7
153,"0",3
