"timeDiff","status","Freq"
17,"0",0
18,"0",0
24,"0",0
25,"0",0
29,"0",0
31,"0",0
35,"0",0
40,"0",0
45,"0",0
46,"0",0
48,"0",0
50,"0",0
52,"0",0
54,"0",0
55,"0",0
56,"0",0
57,"0",0
60,"0",0
62,"0",0
63,"0",0
64,"0",0
66,"0",0
67,"0",0
68,"0",0
70,"0",0
72,"0",0
75,"0",0
79,"0",0
80,"0",0
81,"0",0
85,"0",0
89,"0",0
96,"0",0
97,"0",0
105,"0",0
109,"0",0
111,"0",0
114,"0",0
116,"0",0
119,"0",0
120,"0",0
122,"0",0
124,"0",0
126,"0",0
129,"0",0
130,"0",0
134,"0",0
138,"0",0
142,"0",0
144,"0",0
152,"0",0
153,"0",0
158,"0",0
162,"0",0
163,"0",0
164,"0",0
165,"0",0
167,"0",1
169,"0",0
170,"0",0
171,"0",0
173,"0",0
174,"0",0
177,"0",0
183,"0",0
185,"0",0
187,"0",0
193,"0",0
197,"0",0
198,"0",0
199,"0",0
200,"0",0
202,"0",0
206,"0",0
212,"0",0
215,"0",0
216,"0",0
218,"0",0
226,"0",0
232,"0",0
233,"0",0
234,"0",0
236,"0",0
238,"0",0
243,"0",0
248,"0",0
249,"0",0
250,"0",0
251,"0",0
258,"0",0
261,"0",0
263,"0",0
271,"0",0
277,"0",0
280,"0",0
282,"0",0
283,"0",0
284,"0",0
289,"0",0
290,"0",0
292,"0",0
298,"0",0
300,"0",0
302,"0",0
305,"0",0
310,"0",0
315,"0",0
317,"0",0
318,"0",0
319,"0",0
321,"0",0
323,"0",0
327,"0",0
330,"0",0
336,"0",0
341,"0",0
345,"0",0
347,"0",1
349,"0",0
358,"0",0
359,"0",0
363,"0",0
364,"0",0
366,"0",0
372,"0",0
373,"0",0
375,"0",0
382,"0",0
384,"0",0
385,"0",0
390,"0",0
392,"0",0
396,"0",0
403,"0",0
405,"0",0
411,"0",0
415,"0",0
419,"0",0
422,"0",0
427,"0",0
431,"0",0
436,"0",0
446,"0",0
454,"0",0
455,"0",0
461,"0",0
462,"0",0
463,"0",0
467,"0",0
479,"0",0
486,"0",0
487,"0",0
489,"0",0
495,"0",0
505,"0",0
512,"0",0
515,"0",0
520,"0",0
522,"0",0
523,"0",0
528,"0",0
