"timeDiff","status","Freq"
23,"0",1
25,"0",1
29,"0",0
35,"0",1
42,"0",0
46,"0",0
50,"0",0
57,"0",0
59,"0",1
60,"0",0
74,"0",0
78,"0",2
93,"0",1
94,"0",1
97,"0",0
98,"0",0
101,"0",1
106,"0",0
114,"0",0
117,"0",1
119,"0",1
120,"0",0
124,"0",0
125,"0",1
126,"0",0
128,"0",0
130,"0",0
132,"0",1
140,"0",0
148,"0",2
149,"0",0
150,"0",0
151,"0",0
154,"0",2
156,"0",0
163,"0",1
171,"0",1
172,"0",1
175,"0",1
179,"0",0
183,"0",1
187,"0",0
194,"0",1
195,"0",1
201,"0",1
204,"0",0
206,"0",1
214,"0",2
215,"0",0
218,"0",1
221,"0",1
227,"0",0
229,"0",0
231,"0",1
234,"0",0
236,"0",1
237,"0",1
243,"0",0
249,"0",1
252,"0",0
255,"0",1
259,"0",0
260,"0",0
265,"0",0
267,"0",0
268,"0",0
293,"0",0
294,"0",1
295,"0",1
300,"0",0
302,"0",0
308,"0",0
312,"0",1
322,"0",1
323,"0",1
328,"0",1
335,"0",1
339,"0",1
343,"0",0
347,"0",0
348,"0",0
349,"0",1
351,"0",0
357,"0",0
358,"0",1
359,"0",0
361,"0",1
366,"0",0
382,"0",0
387,"0",0
392,"0",1
394,"0",0
396,"0",0
397,"0",1
398,"0",1
406,"0",1
407,"0",1
409,"0",2
414,"0",1
421,"0",0
427,"0",0
429,"0",0
433,"0",0
437,"0",0
440,"0",1
451,"0",0
452,"0",1
454,"0",1
457,"0",0
461,"0",0
465,"0",0
479,"0",1
482,"0",0
483,"0",0
487,"0",0
489,"0",0
492,"0",1
502,"0",1
505,"0",0
511,"0",0
513,"0",1
514,"0",1
515,"0",0
520,"0",0
523,"0",1
546,"0",0
554,"0",0
557,"0",1
560,"0",1
562,"0",0
569,"0",0
583,"0",1
589,"0",0
599,"0",1
607,"0",1
609,"0",0
613,"0",1
614,"0",1
618,"0",1
624,"0",1
628,"0",0
661,"0",1
666,"0",0
668,"0",1
671,"0",0
680,"0",0
689,"0",0
690,"0",0
703,"0",1
721,"0",0
728,"0",0
733,"0",0
740,"0",1
744,"0",0
748,"0",0
749,"0",0
753,"0",1
765,"0",1
800,"0",1
832,"0",0
838,"0",1
839,"0",1
842,"0",1
855,"0",1
856,"0",0
868,"0",1
870,"0",0
877,"0",1
886,"0",1
905,"0",0
920,"0",0
924,"0",0
928,"0",0
935,"0",0
941,"0",1
952,"0",1
971,"0",1
984,"0",0
991,"0",0
1005,"0",0
1014,"0",0
1022,"0",0
1025,"0",1
1046,"0",0
1061,"0",0
1063,"0",0
1072,"0",1
1078,"0",0
1080,"0",0
1084,"0",0
1085,"0",0
1114,"0",1
1126,"0",0
1128,"0",0
1139,"0",0
1142,"0",0
1151,"0",1
1157,"0",0
1158,"0",0
1185,"0",0
1206,"0",1
1244,"0",0
1263,"0",0
1326,"0",1
1381,"0",1
1385,"0",0
1401,"0",0
1413,"0",0
1466,"0",1
1472,"0",1
1486,"0",0
1498,"0",0
1526,"0",1
1529,"0",0
1530,"0",0
1560,"0",1
1594,"0",0
1604,"0",0
1626,"0",0
1630,"0",0
1634,"0",1
1689,"0",0
1709,"0",1
1742,"0",0
1749,"0",0
1755,"0",1
1756,"0",1
1767,"0",0
1783,"0",1
1814,"0",1
1824,"0",0
1827,"0",1
1853,"0",0
1857,"0",1
1864,"0",1
1880,"0",0
1882,"0",1
1899,"0",0
1904,"0",0
1910,"0",1
1911,"0",0
1915,"0",0
1916,"0",1
1919,"0",1
1923,"0",1
1929,"0",0
1942,"0",0
1958,"0",1
1959,"0",0
1964,"0",0
1982,"0",1
1992,"0",1
2016,"0",0
2021,"0",0
2032,"0",1
2033,"0",0
2038,"0",0
2048,"0",1
2052,"0",0
2065,"0",1
2088,"0",0
2107,"0",1
2118,"0",0
2120,"0",0
2126,"0",0
2127,"0",1
2134,"0",1
2205,"0",1
2268,"0",0
2303,"0",1
2320,"0",0
2325,"0",1
2348,"0",0
2355,"0",0
2383,"0",1
2413,"0",0
2421,"0",0
2429,"0",0
2475,"0",0
2522,"0",0
2527,"0",0
2534,"0",0
2548,"0",1
2556,"0",0
2628,"0",0
2641,"0",1
2655,"0",0
2668,"0",0
2693,"0",1
2698,"0",1
2713,"0",1
2719,"0",0
2758,"0",0
2781,"0",1
2822,"0",1
2910,"0",0
2931,"0",1
2945,"0",0
2947,"0",0
2960,"0",0
