"timeDiff","status","Freq"
0,"0",1
3,"0",5
5,"0",2
6,"0",5
7,"0",10
8,"0",5
9,"0",3
10,"0",5
11,"0",11
12,"0",5
13,"0",12
14,"0",8
15,"0",20
16,"0",9
17,"0",6
18,"0",9
19,"0",9
20,"0",10
21,"0",9
22,"0",8
23,"0",12
24,"0",10
25,"0",6
26,"0",6
27,"0",17
28,"0",5
29,"0",9
30,"0",9
31,"0",32
32,"0",10
33,"0",7
34,"0",7
35,"0",29
36,"0",6
37,"0",8
38,"0",12
39,"0",21
40,"0",7
41,"0",7
42,"0",16
43,"0",6
44,"0",9
45,"0",9
46,"0",14
47,"0",7
48,"0",10
49,"0",8
50,"0",17
51,"0",9
52,"0",8
53,"0",5
54,"0",15
55,"0",12
56,"0",6
57,"0",4
58,"0",22
59,"0",6
60,"0",9
61,"0",7
62,"0",11
63,"0",12
64,"0",7
65,"0",4
66,"0",20
67,"0",6
68,"0",7
69,"0",10
70,"0",18
71,"0",9
72,"0",11
73,"0",19
74,"0",13
75,"0",10
76,"0",5
77,"0",10
78,"0",23
79,"0",4
80,"0",4
81,"0",18
82,"0",8
83,"0",5
84,"0",7
85,"0",15
86,"0",6
87,"0",10
88,"0",8
89,"0",17
90,"0",5
91,"0",4
92,"0",6
93,"0",21
94,"0",13
95,"0",6
96,"0",10
97,"0",16
98,"0",14
99,"0",7
100,"0",7
101,"0",16
102,"0",8
103,"0",7
104,"0",12
105,"0",14
106,"0",12
107,"0",2
108,"0",12
109,"0",12
110,"0",6
111,"0",9
112,"0",6
113,"0",14
114,"0",3
115,"0",9
116,"0",10
117,"0",11
118,"0",3
119,"0",11
120,"0",13
121,"0",7
122,"0",7
123,"0",5
124,"0",22
125,"0",11
126,"0",9
127,"0",11
128,"0",11
129,"0",5
130,"0",5
131,"0",6
132,"0",28
133,"0",7
134,"0",7
135,"0",7
136,"0",26
137,"0",7
138,"0",7
139,"0",5
140,"0",12
141,"0",8
142,"0",6
143,"0",12
144,"0",17
145,"0",8
146,"0",5
147,"0",4
148,"0",23
149,"0",9
150,"0",7
151,"0",7
152,"0",17
153,"0",4
154,"0",6
155,"0",11
